2019 Authorized Budget,,,,,Mar-17,,,,Apr-17,,,,May-17,,,,Jun-17,,,,Jul-17,,,,Aug-17,,,,Sep-17,,,,Oct-17,,,,Nov-17,,,,Dec-17,,,,Jan-18,,,,Feb-18,,,,Mar-18,,,,Apr-18,,,,May-18,,,,Jun-18,,,,Jul-18,,,,Aug-18,,,,Sep-18,,,,Oct-18,,,,Nov-18,,,,Dec-18,,,,Jan-19,,,,Feb-19,,,
Position #,Position Description,FTE Percent,Location,2019 Budgeted Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description,Filled FTE Percent,Current Salary,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary ,Employee #,Filled Position Description, Filled FTE Percent , Current Salary 
652,HSG INSPECTION SUPV, 1.00 ,BUILD INSP," 94,669 ",1649,HSG INSPECTION SUPV, 1.00 ,88660.78,1649,HSG INSPECTION SUPV,1.00,88660.78,1649,HSG INSPECTION SUPV,1.00,88660.78,1649,HSG INSPECTION SUPV,1,88660.78,1649,HSG INSPECTION SUPV,1,90433.98,1649,HSG INSPECTION SUPV,1,90433.98,1649,HSG INSPECTION SUPV,1,90433.98,1649,HSG INSPECTION SUPV,1,90433.98,1649,HSG INSPECTION SUPV,1,90433.98,1649,HSG INSPECTION SUPV,1,91338.26,1649,HSG INSPECTION SUPV, 1.00 ,91338.26,1649,HSG INSPECTION SUPV, 1.00 ,91338.26,1649,HSG INSPECTION SUPV, 1.00 ,91338.26,1649,HSG INSPECTION SUPV, 1.00 ,91338.26,1649,HSG INSPECTION SUPV, 1.00 ,91338.26,1649,HSG INSPECTION SUPV, 1.00 ,91338.26,1649,HSG INSPECTION SUPV, 1.00 ,91338.26,1649,HSG INSPECTION SUPV, 1.00 ,91338.26,1649,HSG INSPECTION SUPV,1,91338.26,1649,HSG INSPECTION SUPV,1,91338.26,1649,HSG INSPECTION SUPV,1,91338.26,1649,HSG INSPECTION SUPV, 1.00 ,94306.94,1649,HSG INSPECTION SUPV-18, 1.00 ,94306.94,1649,HSG INSPECTION SUPV-18, 1.00 ,94306.94
654,CODE ENFORC OFF 3, 1.00 ,BUILD INSP," 84,208 ",2133,CODE ENFORC OFF 3, 1.00 ,78863.20,2133,CODE ENFORC OFF 3,1.00,78863.20,2133,CODE ENFORC OFF 3,1.00,78863.20,2133,CODE ENFORC OFF 3,1,78863.20,2133,CODE ENFORC OFF 3,1,80440.36,2133,CODE ENFORC OFF 3,1,80440.36,2133,CODE ENFORC OFF 3,1,80440.36,2133,CODE ENFORC OFF 3,1,80440.36,2133,CODE ENFORC OFF 3,1,80440.36,2133,CODE ENFORC OFF 3,1,81244.54,2133,CODE ENFORC OFF 3, 1.00 ,81244.54,2133,CODE ENFORC OFF 3, 1.00 ,81244.54,2133,CODE ENFORC OFF 3, 1.00 ,81244.54,2133,CODE ENFORC OFF 3, 1.00 ,81244.54,2133,CODE ENFORC OFF 3, 1.00 ,81244.54,2133,CODE ENFORC OFF 3, 1.00 ,81244.54,2133,CODE ENFORC OFF 3, 1.00 ,81244.54,2133,CODE ENFORC OFF 3, 1.00 ,81244.54,2133,CODE ENFORC OFF 3,1,81244.54,2133,CODE ENFORC OFF 3,1,81244.54,2133,CODE ENFORC OFF 3,1,81244.54,2133,CODE ENFORC OFF 3, 1.00 ,83885.10,2133,CODE ENFORC OFF 3-16, 1.00 ,83885.10,2133,CODE ENFORC OFF 3-16, 1.00 ,83885.10
655,MAINT MECH 2, 1.00 ,ENGINEERIN," 72,824 ",2104,MAINT MECH 2, 1.00 ,68201.64,2104,MAINT MECH 2,1.00,68201.64,2104,MAINT MECH 2,1.00,68201.64,2104,MAINT MECH 2,1,68201.64,2104,MAINT MECH 2,1,69565.60,2104,MAINT MECH 2,1,69565.60,2104,MAINT MECH 2,1,69565.60,2104,MAINT MECH 2,1,69565.60,2104,MAINT MECH 2,1,69565.60,2104,MAINT MECH 2,1,70261.36,2104,MAINT MECH 2, 1.00 ,70261.36,2104,MAINT MECH 2, 1.00 ,70261.36,2104,MAINT MECH 2, 1.00 ,70261.36,2104,MAINT MECH 2, 1.00 ,70261.36,2104,MAINT MECH 2, 1.00 ,70261.36,2104,MAINT MECH 2, 1.00 ,70261.36,2104,MAINT MECH 2, 1.00 ,70261.36,2104,MAINT MECH 2, 1.00 ,70261.36,2104,MAINT MECH 2,1,70261.36,2104,MAINT MECH 2,1,70261.36,2104,MAINT MECH 2,1,70261.36,2104,MAINT MECH 2, 1.00 ,72544.94,2104,MAINT MECH 2-16, 1.00 ,72544.94,2104,MAINT MECH 2-16, 2.00 ,72544.94
656,CUSTODIAL SERV, 1.00 ,ENGINEERIN," 51,733 ", VACANT ,, -   ,0.00,VACANT,, -   ,0.00,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,1123,CUSTODIAL SERV, 1.00 ,55876.60,1123,CUSTODIAL SERV, 1.00 ,55876.60,1123,CUSTODIAL SERV, 1.00 ,55876.60,1123,CUSTODIAL SERV, 1.00 ,55876.60,1123,CUSTODIAL SERV, 1.00 ,55876.60,1123,CUSTODIAL SERV, 1.00 ,55876.60,1123,CUSTODIAL SERV,1,55876.60,1123,CUSTODIAL SERV,1,57364.58,1123,CUSTODIAL SERV,1,57364.58,1123,CUSTODIAL SERV, 1.00 ,59229.04,1123,CUSTODIAL SERV COORD-16, 1.00 ,59229.04,1123,CUSTODIAL SERV COORD-16, 1.00 ,59229.04
657,INFORMATION CLERK, 1.00 ,BUILD INSP," 43,580 ",2840,INFORMATION CLERK, 1.00 ,48278.62,2840,INFORMATION CLERK,1.00,48278.62,2840,INFORMATION CLERK,1.00,48278.62,2840,INFORMATION CLERK,1,48278.62,2840,INFORMATION CLERK,1,49244.26,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,1252,INFORMATION CLERK,1,51144.34,VACANT,VACANT,VACANT,VACANT,11175,INFORMATION CLERK, 1.00 ,42046.42,11175,INFORMATION CLERK, 1.00 ,42046.42,11175,INFORMATION CLERK, 1.00 ,42046.42,11175,INFORMATION CLERK, 1.00 ,42046.42,11175,INFORMATION CLERK, 1.00 ,42046.42,11175,INFORMATION CLERK, 1.00 ,42046.42,11175,INFORMATION CLERK, 1.00 ,42942.64,11175,INFORMATION CLERK,1,42942.64,11175,INFORMATION CLERK,1,42942.64,11175,INFORMATION CLERK,1,42942.64,11175,INFORMATION CLERK, 1.00 ,44338.32,11175,INFORMATION CLERK-20, 1.00 ,44338.32,11175,INFORMATION CLERK-20, 1.00 ,44338.32
658,CUSTODIAL WKR 2, 1.00 ,ENGINEERIN," 46,107 ", VACANT ,, -   ,0.00,VACANT,, -   ,0.00,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,10556,CUSTODIAL WKR 1-16, 1.00 ,39459.16,10556,CUSTODIAL WKR 1-16,1,39459.16,10556,CUSTODIAL WKR 1-16,1,39459.16,10556,CUSTODIAL WKR 1-16,1,39459.16,10556,CUSTODIAL WKR 1-16, 1.00 ,40741.48,10556,CUSTODIAL WKR 1-16, 1.00 ,40741.48,VACANT,VACANT,VACANT,VACANT
660,ELEC/HEAT INSPECTOR, 1.00 ,BUILD INSP," 80,920 ",2793,ELEC/HEAT INSPECTOR, 1.00 ,75310.82,2793,ELEC/HEAT INSPECTOR,1.00,75310.82,2793,ELEC/HEAT INSPECTOR,1.00,75310.82,2793,ELEC/HEAT INSPECTOR,1,75310.82,2793,ELEC/HEAT INSPECTOR,1,76817.00,2793,ELEC/HEAT INSPECTOR,1,76817.00,2793,ELEC/HEAT INSPECTOR,1,76817.00,2793,ELEC/HEAT INSPECTOR,1,76817.00,2793,ELEC/HEAT INSPECTOR,1,76817.00,2793,ELEC/HEAT INSPECTOR,1,77585.04,2793,ELEC/HEAT INSPECTOR, 1.00 ,77585.04,2793,ELEC/HEAT INSPECTOR, 1.00 ,77585.04,2793,ELEC/HEAT INSPECTOR, 1.00 ,77585.04,2793,ELEC/HEAT INSPECTOR, 1.00 ,77585.04,2793,ELEC/HEAT INSPECTOR, 1.00 ,77585.04,2793,ELEC/HEAT INSPECTOR, 1.00 ,77585.04,2793,ELEC/HEAT INSPECTOR, 1.00 ,77585.04,2793,ELEC/HEAT INSPECTOR, 1.00 ,77585.04,2793,ELEC/HEAT INSPECTOR,1,77585.04,2793,ELEC/HEAT INSPECTOR,1,77585.04,2793,ELEC/HEAT INSPECTOR,1,77585.04,2793,ELEC/HEAT INSPECTOR, 1.00 ,80106.52,2793,ELEC/HEAT INSPECTOR-16, 1.00 ,80106.52,2793,ELEC/HEAT INSPECTOR-16, 1.00 ,80106.52
661,CUSTODIAL WKR 2, 1.00 ,ENGINEERIN," 56,133 ",3178,CUSTODIAL WKR 2, 1.00 ,51355.98,3178,CUSTODIAL WKR 2,1.00,51355.98,3178,CUSTODIAL WKR 2,1.00,51355.98,3178,CUSTODIAL WKR 2,1,51355.98,3178,CUSTODIAL WKR 2,1,53371.50,3178,CUSTODIAL WKR 2,1,53371.50,3178,CUSTODIAL WKR 2,1,53371.50,3178,CUSTODIAL WKR 2,1,53371.50,3178,CUSTODIAL WKR 2,1,53371.50,3178,CUSTODIAL WKR 2,1,53905.28,3178,CUSTODIAL WKR 2, 1.00 ,53905.28,3178,CUSTODIAL WKR 2, 1.00 ,53905.28,3178,CUSTODIAL WKR 2, 1.00 ,53905.28,3178,CUSTODIAL WKR 2, 1.00 ,53905.28,3178,CUSTODIAL WKR 2, 1.00 ,53905.28,3178,CUSTODIAL WKR 2, 1.00 ,53905.28,3178,CUSTODIAL WKR 2, 1.00 ,53905.28,3178,CUSTODIAL WKR 2, 1.00 ,53905.28,3178,CUSTODIAL WKR 2,1,53905.28,3178,CUSTODIAL WKR 2,1,53905.28,3178,CUSTODIAL WKR 2,1,53905.28,3178,CUSTODIAL WKR 2, 1.00 ,55657.16,3178,CUSTODIAL WKR 2-16, 1.00 ,55657.16,3178,CUSTODIAL WKR 2-16, 1.00 ,55657.16
662,CODE ENFORC OFF 3, 1.00 ,BUILD INSP," 64,708 ",7978,CODE ENFC OFF 1-16, 1.00 ,52530.92,7978,CODE ENFC OFF 1-16,1.00,52530.92,7978,CODE ENFC OFF 1-16,1.00,54028.00,7978,CODE ENFC OFF 1-16,1,54028.00,7978,CODE ENFC OFF 1-16,1,55108.56,7978,CODE ENFC OFF 1-16,1,55108.56,7978,CODE ENFC OFF 1-16,1,55108.56,7978,CODE ENFC OFF 1-16,1,55108.56,7978,CODE ENFC OFF 2-16,1,57935.54,7978,CODE ENFC OFF 2-16,1,58514.82,7978,CODE ENFC OFF 2-16, 1.00 ,58514.82,7978,CODE ENFC OFF 2-16, 1.00 ,58514.82,7978,CODE ENFC OFF 2-16, 1.00 ,58514.82,7978,CODE ENFC OFF 2-16, 1.00 ,58514.82,7978,CODE ENFC OFF 2-16, 1.00 ,60686.60,7978,CODE ENFC OFF 2-16, 1.00 ,60686.60,7978,CODE ENFC OFF 2-16, 1.00 ,60686.60,7978,CODE ENFC OFF 2-16, 1.00 ,60686.60,7978,CODE ENFC OFF 2-16,1,60686.60,7978,CODE ENFC OFF 2-16,1,60686.60,7978,CODE ENFC OFF 2-16,1,60686.60,7978,CODE ENFC OFF 2-16, 1.00 ,62658.96,7978,CODE ENFC OFF 2-16, 1.00 ,62658.96,7978,CODE ENFC OFF 2-16, 1.00 ,62658.96
663,PROGRAM ASST 3, 1.00 ,BUILD INSP," 54,254 ",7878,PROGRAM ASST 3, 1.00 ,51060.62,7878,PROGRAM ASST 3,1.00,51060.62,7878,PROGRAM ASST 3,1.00,51060.62,VACANT,VACANT,VACANT,VACANT,10610,PROGRAM ASST 3,1,49112.44,10610,PROGRAM ASST 3,1,49112.44,10674,PROGRAM ASST 3,1,49112.44,10674,PROGRAM ASST 3,1,49112.44,10674,PROGRAM ASST 3,1,49112.44,10674,PROGRAM ASST 3,1,49603.58,10674,PROGRAM ASST 3, 1.00 ,49603.58,10674,PROGRAM ASST 3, 1.00 ,49603.58,10674,PROGRAM ASST 3, 1.00 ,51106.12,10674,PROGRAM ASST 3, 1.00 ,51106.12,10674,PROGRAM ASST 3, 1.00 ,51106.12,10674,PROGRAM ASST 3, 1.00 ,51106.12,10674,PROGRAM ASST 3, 1.00 ,51106.12,10674,PROGRAM ASST 3, 1.00 ,51106.12,10674,PROGRAM ASST 3,1,51106.12,10674,PROGRAM ASST 3,1,51106.12,10674,PROGRAM ASST 3,1,51106.12,10674,PROGRAM ASST 3, 1.00 ,52767.00,10674,PROGRAM ASST 3-17, 1.00 ,52767.00,10674,PROGRAM ASST 3-17, 1.00 ,52767.00
664,ADMIN CLK 1, 1.00 ,BUILD INSP," 56,310 ",2772,ADMIN CLK 1, 1.00 ,54060.24,2772,ADMIN CLK 1,1.00,54060.24,2772,ADMIN CLK 1,1.00,54060.24,2772,ADMIN CLK 1,1,54060.24,2772,ADMIN CLK 1,1,55141.32,2772,ADMIN CLK 1,1,55141.32,2772,ADMIN CLK 1,1,55141.32,2772,ADMIN CLK 1,1,55141.32,2772,ADMIN CLK 1,1,55141.32,2772,ADMIN CLK 1,1,55692.78,1252,ADMIN CLK 1, 1.00 ,54201.16,1252,ADMIN CLK 1, 1.00 ,54201.16,1252,ADMIN CLK 1, 1.00 ,54201.16,1252,ADMIN CLK 1, 1.00 ,54201.16,1252,ADMIN CLK 1, 1.00 ,54201.16,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,1092,ADMIN CLK 1,1,44225.74,1092,ADMIN CLK 1,1,44225.74,1092,ADMIN CLK 1, 1.00 ,45663.02,1092,ADMIN CLK 1-20, 1.00 ,45663.02,1092,ADMIN CLK 1-20, 1.00 ,45663.02
665,ZONING CODE OFF 2, 1.00 ,BUILD INSP," 72,914 ",1299,ZONING CODE OFF 2, 1.00 ,66916.98,1299,ZONING CODE OFF 2,1.00,66916.98,1299,ZONING CODE OFF 2,1.00,63129.30,1299,ZONING CODE OFF 2,1,66916.98,1299,ZONING CODE OFF 2,1,68255.46,1299,ZONING CODE OFF 2,1,68255.46,1299,ZONING CODE OFF 2,1,68255.46,1299,ZONING CODE OFF 2,1,68255.46,1299,ZONING CODE OFF 2,1,69543.24,1299,ZONING CODE OFF 2,1,70238.74,1299,ZONING CODE OFF 2, 1.00 ,70238.74,1299,ZONING CODE OFF 2, 1.00 ,70238.74,1299,ZONING CODE OFF 2, 1.00 ,70238.74,1299,ZONING CODE OFF 2, 1.00 ,70238.74,1299,ZONING CODE OFF 2, 1.00 ,70238.74,1299,ZONING CODE OFF 2, 1.00 ,65035.88,1299,ZONING CODE OFF 2, 1.00 ,65035.88,1299,ZONING CODE OFF 2, 1.00 ,65035.88,1299,ZONING CODE OFF 2,1,70238.74,1299,ZONING CODE OFF 2,1,65035.88,VACANT,VACANT,VACANT,VACANT,1299,ZONING CODE OFF 2, 1.00 ,65035.88,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT
666,CUSTODIAL WKR 2, 1.00 ,ENGINEERIN," 46,107 ",3014,CUSTODIAL WKR 2, 1.00 ,54262.78,3014,CUSTODIAL WKR 2,1.00,54262.78,3014,CUSTODIAL WKR 2,1.00,54262.78,3014,CUSTODIAL WKR 2,1,54262.78,3014,CUSTODIAL WKR 2,1,55348.02,3014,CUSTODIAL WKR 2,1,55348.02,3014,CUSTODIAL WKR 2,1,55348.02,3014,CUSTODIAL WKR 2,1,55348.02,3014,CUSTODIAL WKR 2,1,55348.02,3014,CUSTODIAL WKR 2,1,55901.56,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,10356,CUSTODIAL WKR 1-16,1,39459.16,10356,CUSTODIAL WKR 1-16,1,39459.16,10356,CUSTODIAL WKR 1-16,1,39459.16,10356,CUSTODIAL WKR 1-16, 1.00 ,40741.48,VACANT,VACANT,VACANT,VACANT,12721,CUSTODIAL WKR 1-16, 1.00 ,40741.48
667,PLUMB/HEAT INSPECTOR, 1.00 ,BUILD INSP," 77,397 ",7590,PLUMB/HEAT INSPECTOR, 1.00 ,65541.32,7590,PLUMB/HEAT INSPECTOR,1.00,65541.32,7590,PLUMB/HEAT INSPECTOR,1.00,65541.32,7590,PLUMB/HEAT INSPECTOR,1,65541.32,7590,PLUMB/HEAT INSPECTOR,1,66852.24,7590,PLUMB/HEAT INSPECTOR,1,66852.24,7590,PLUMB/HEAT INSPECTOR,1,66852.24,7590,PLUMB/HEAT INSPECTOR,1,66852.24,7590,PLUMB/HEAT INSPECTOR,1,69492.28,7590,PLUMB/HEAT INSPECTOR,1,70187.26,7590,PLUMB/HEAT INSPECTOR, 1.00 ,70187.26,7590,PLUMB/HEAT INSPECTOR, 1.00 ,70187.26,7590,PLUMB/HEAT INSPECTOR, 1.00 ,70187.26,7590,PLUMB/HEAT INSPECTOR, 1.00 ,70187.26,7590,PLUMB/HEAT INSPECTOR, 1.00 ,70187.26,7590,PLUMB/HEAT INSPECTOR, 1.00 ,70187.26,7590,PLUMB/HEAT INSPECTOR, 1.00 ,70187.26,7590,PLUMB/HEAT INSPECTOR, 1.00 ,70187.26,7590,PLUMB/HEAT INSPECTOR,1,70187.26,7590,PLUMB/HEAT INSPECTOR,1,70187.26,7590,PLUMB/HEAT INSPECTOR,1,73193.38,7590,PLUMB/HEAT INSPECTOR, 1.00 ,75572.12,7590,PLUMB/HEAT INSPECTOR-16, 1.00 ,75572.12,7590,PLUMB/HEAT INSPECTOR-16, 1.00 ,75572.12
669,ZONING CODE OFF 2, 1.00 ,BUILD INSP," 74,725 ",2172,ZONING CODE OFF 2, 1.00 ,72095.14,2172,ZONING CODE OFF 2,1.00,72095.14,2172,ZONING CODE OFF 2,1.00,72095.14,2172,ZONING CODE OFF 2,1,72095.14,2172,ZONING CODE OFF 2,1,72095.14,2172,ZONING CODE OFF 2,1,72095.14,2172,ZONING CODE OFF 2,1,72095.14,2172,ZONING CODE OFF 2,1,72095.14,2172,ZONING CODE OFF 2,1,72095.14,2172,ZONING CODE OFF 2,1,72095.14,2172,ZONING CODE OFF 2, 1.00 ,72095.14,2172,ZONING CODE OFF 2, 1.00 ,70054.66,2172,ZONING CODE OFF 2, 1.00 ,70054.66,2172,ZONING CODE OFF 2, 1.00 ,70054.66,2172,ZONING CODE OFF 2, 1.00 ,70054.66,2172,ZONING CODE OFF 2, 1.00 ,70054.66,2172,ZONING CODE OFF 2, 1.00 ,70054.66,2172,ZONING CODE OFF 2, 1.00 ,70054.66,2172,ZONING CODE OFF 2,1,70054.66,2172,ZONING CODE OFF 2,1,70054.66,2172,ZONING CODE OFF 2,1,70054.66,2172,ZONING CODE OFF 2, 1.00 ,70054.66,2172,ZONING CODE OFF 2-16, 1.00 ,72095.14,2172,ZONING CODE OFF 2-16, 1.00 ,72095.14
670,CUSTODIAL WKR 2, 1.00 ,ENGINEERIN," 46,113 ",2663,CUSTODIAL WKR 1-16, 1.00 ,43186.52,2663,CUSTODIAL WKR 1-16,1.00,43186.52,2663,CUSTODIAL WKR 1-16,1.00,43186.52,2663,CUSTODIAL WKR 1-16,1,43186.52,2663,CUSTODIAL WKR 1-16,1,44050.24,2663,CUSTODIAL WKR 1-16,1,44050.24,2663,CUSTODIAL WKR 1-16,1,44050.24,2663,CUSTODIAL WKR 1-16,1,44050.24,2663,CUSTODIAL WKR 1-16,1,44050.24,2663,CUSTODIAL WKR 1-16,1,44490.68,2663,CUSTODIAL WKR 1-16, 1.00 ,44490.68,2663,CUSTODIAL WKR 1-16, 1.00 ,44490.68,2663,CUSTODIAL WKR 1-16, 1.00 ,44490.68,2663,CUSTODIAL WKR 1-16, 1.00 ,44490.68,2663,CUSTODIAL WKR 1-16, 1.00 ,44490.68,2663,CUSTODIAL WKR 1-16, 1.00 ,44490.68,2663,CUSTODIAL WKR 1-16, 1.00 ,44490.68,2663,CUSTODIAL WKR 1-16, 1.00 ,44490.68,2663,CUSTODIAL WKR 1-16,1,44490.68,2663,CUSTODIAL WKR 1-16,1,44490.68,2663,CUSTODIAL WKR 1-16,1,44490.68,2663,CUSTODIAL WKR 1-16, 1.00 ,45936.54,2663,CUSTODIAL WKR 1-16, 1.00 ,45936.54,2663,CUSTODIAL WKR 1-16, 1.00 ,45936.54
671,ELEC/HEAT INSPECTOR, 1.00 ,BUILD INSP," 72,609 ",9207,ELEC/HEAT INSPECTOR, 1.00 ,63129.30,9207,ELEC/HEAT INSPECTOR,1.00,63129.30,9207,ELEC/HEAT INSPECTOR,1.00,63129.30,9207,ELEC/HEAT INSPECTOR,1,63129.30,9207,ELEC/HEAT INSPECTOR,1,64391.86,9207,ELEC/HEAT INSPECTOR,1,64391.86,9207,ELEC/HEAT INSPECTOR,1,64391.86,9207,ELEC/HEAT INSPECTOR,1,64391.86,9207,ELEC/HEAT INSPECTOR,1,64391.86,9207,ELEC/HEAT INSPECTOR,1,65035.88,9207,ELEC/HEAT INSPECTOR, 1.00 ,65035.88,9207,ELEC/HEAT INSPECTOR, 1.00 ,67520.70,9207,ELEC/HEAT INSPECTOR, 1.00 ,67520.70,9207,ELEC/HEAT INSPECTOR, 1.00 ,67520.70,9207,ELEC/HEAT INSPECTOR, 1.00 ,67520.70,9207,ELEC/HEAT INSPECTOR, 1.00 ,67520.70,9207,ELEC/HEAT INSPECTOR, 1.00 ,67520.70,9207,ELEC/HEAT INSPECTOR, 1.00 ,67520.70,9207,ELEC/HEAT INSPECTOR,1,67520.70,9207,ELEC/HEAT INSPECTOR,1,67520.70,9207,ELEC/HEAT INSPECTOR,1,67520.70,9207,ELEC/HEAT INSPECTOR, 1.00 ,69715.10,9207,ELEC/HEAT INSPECTOR-16, 1.00 ,69715.10,9207,ELEC/HEAT INSPECTOR-16, 1.00 ,72468.24
672,CODE ENFORC OFF 3, 1.00 ,BUILD INSP," 84,966 ",2220,CODE ENFORC OFF 3, 1.00 ,78863.20,2220,CODE ENFORC OFF 3,1.00,78863.20,2220,CODE ENFORC OFF 3,1.00,78863.20,2220,CODE ENFORC OFF 3,1,78863.20,2220,CODE ENFORC OFF 3,1,80440.36,2220,CODE ENFORC OFF 3,1,81164.98,2220,CODE ENFORC OFF 3,1,81164.98,2220,CODE ENFORC OFF 3,1,81164.98,2220,CODE ENFORC OFF 3,1,81164.98,2220,CODE ENFORC OFF 3,1,81976.70,2220,CODE ENFORC OFF 3, 1.00 ,81976.70,2220,CODE ENFORC OFF 3, 1.00 ,81976.70,2220,CODE ENFORC OFF 3, 1.00 ,81976.70,2220,CODE ENFORC OFF 3, 1.00 ,81976.70,2220,CODE ENFORC OFF 3, 1.00 ,81976.70,2220,CODE ENFORC OFF 3, 1.00 ,81976.70,2220,CODE ENFORC OFF 3, 1.00 ,81976.70,2220,CODE ENFORC OFF 3, 1.00 ,81976.70,2220,CODE ENFORC OFF 3,1,81976.70,2220,CODE ENFORC OFF 3,1,81976.70,2220,CODE ENFORC OFF 3,1,81976.70,2220,CODE ENFORC OFF 3, 1.00 ,84640.66,2220,CODE ENFORC OFF 3-16, 1.00 ,84640.66,2220,CODE ENFORC OFF 3-16, 1.00 ,84640.66
673,MAINT MECH 2, 1.00 ,ENGINEERIN," 59,491 ",8537,MAINT MECH 1-16, 1.00 ,52530.92,8537,MAINT MECH 1-16,1.00,52530.92,8537,MAINT MECH 1-16,1.00,52530.92,8537,MAINT MECH 1-16,1,52530.92,8537,MAINT MECH 1-16,1,53581.58,8537,MAINT MECH 1-16,1,53581.58,8537,MAINT MECH 1-16,1,53581.58,8537,MAINT MECH 1-16,1,55108.56,8537,MAINT MECH 1-16,1,55108.56,8537,MAINT MECH 1-16,1,55659.76,8537,MAINT MECH 1-16, 1.00 ,55659.76,8537,MAINT MECH 1-16, 1.00 ,55659.76,8537,MAINT MECH 1-16, 1.00 ,55659.76,8537,MAINT MECH 1-16, 1.00 ,55659.76,8537,MAINT MECH 1-16, 1.00 ,55659.76,8537,MAINT MECH 1-16, 1.00 ,55659.76,8537,MAINT MECH 1-16, 1.00 ,55659.76,8537,MAINT MECH 1-16, 1.00 ,55659.76,8537,MAINT MECH 1-16,1,55659.76,8537,MAINT MECH 1-16,1,56923.10,8537,MAINT MECH 1-16,1,56923.10,8537,MAINT MECH 1-16, 1.00 ,58773.00,8537,MAINT MECH 1-16, 1.00 ,58773.00,8537,MAINT MECH 1-16, 1.00 ,58773.00
